movie_name,date,regions,types,actors,actor_count,score,vote_count
活着,1994-05-17,中国大陆|中国香港,剧情|历史|家庭,葛优|巩俐|姜武|牛犇|郭涛|张璐|倪大红|肖聪|董飞|刘天池|董立范|黄宗洛|刘燕瑾|李连义|杨同顺|苏岩|王丽华,17,9.3,905543
放牛班的春天,2004-10-16,法国|瑞士|德国,剧情|音乐,让-巴蒂斯特·莫尼耶|热拉尔·朱尼奥|弗朗索瓦·贝莱昂|凯德·麦拉德|让-保罗·博奈雷|雅克·贝汉|玛丽·布奈尔|马克桑斯·贝汉|格雷戈里·加迪诺尔|托马斯·布伦门塔尔|西里尔·伯尔尼科特|西蒙·法戈特|泰奥杜尔·卡雷-卡赛尼|菲利普·杜·詹纳兰德|埃里克·德斯玛莱茨|狄迪尔·弗拉蒙|卡罗尔·韦斯,17,9.3,1386831
高山下的花环,1985-11-07,中国大陆,剧情|战争,吕晓禾|唐国强|何伟|童超|盖克|王玉梅|刘燕生|斯琴高娃|倪大红|何毅|石磊|贾雨岚|李丹军|管宗祥|李振平|胡宗琪|洪军,17,9.5,120057
鬼子来了,2000-05-12,中国大陆,剧情|喜剧,姜文|香川照之|袁丁|姜宏波|丛志军|李丛喜|泽田谦也|李海滨|蔡卫东|陈述|陈莲梅|史建全|陈强|宫路佳具|吴大维|梶冈润一|石山雄大|述平|姜武|姜金才|石山雄太|山田将之|贾幼然|王义和|杜世儒|周海超|白云生|徐海东|长野客弘|鱼见亮介,30,9.3,666861
触不可及,2011-11-02,法国,剧情|喜剧,弗朗索瓦·克鲁塞|奥玛·希|安娜·勒尼|奥德雷·弗勒罗|约瑟芬娜·德·摩|克洛蒂尔德·莫莱特|阿尔芭·贝露琪|萨丽马特·卡马特|托马·索利韦尔|弗朗索瓦·伯尔卢普|安托万·劳伦特|卡罗琳·伯格|多米尼克·达吉尔|尼基·马伯特|本杰明·巴奇|弗朗索瓦·卡隆|玛丽-洛尔·德库洛|让-弗朗索瓦·凯雷|艾米丽·卡恩|多萝特博里埃|皮埃尔-罗兰·巴纳隆|海迪·布奇纳法,22,9.3,1198913
教父,1972-03-15,美国,剧情|犯罪,马龙·白兰度|阿尔·帕西诺|詹姆斯·肯恩|理查德·卡斯特尔诺|罗伯特·杜瓦尔|斯特林·海登|约翰·马利|理查德·康特|艾尔·勒提埃里|黛安·基顿|阿贝·维高达|塔莉娅·夏尔|吉亚尼·罗素|约翰·凯泽尔|鲁迪·邦德|兰尼·蒙大拿|索菲亚·科波拉|弗兰科·奇蒂|西蒙蕾妲·瑟法奈尼|理查德·布赖特|朱莉·格雷格|阿历克斯·罗克|卡迈恩·科波拉|萨罗·乌尔齐|阿尔·马蒂诺|摩甘娜金|安杰洛·伊凡蒂|柯拉朵加伊帕|维托·斯科蒂|约翰马迪诺|维克多伦蒂纳|托尼·乔治|加里·弗雷德里克森|桑尼格鲁索,34,9.3,1030551
熔炉,2011-09-22,韩国,剧情,孔刘|郑裕美|金贤秀|郑仁絮|白承焕|张光|金民尚|林贤成|金周灵|严孝燮|全国焕|崔镇浩|金志映|严智星|许在浩|张素妍|金智怜|张宥|朴惠珍|全宇材|林贤成|洪锡然|郑亨锡,23,9.3,981574
指环王3：王者无敌,2004-03-12,美国|新西兰,剧情|动作|奇幻|冒险,伊利亚·伍德|西恩·奥斯汀|维果·莫腾森|奥兰多·布鲁姆|伊恩·麦克莱恩|肖恩·宾|多米尼克·莫纳汉|丽芙·泰勒|约翰·贝西|凯特·布兰切特|比利·博伊德|萨德文·布罗菲|阿利斯泰尔·布朗宁|马尔顿·索克斯|伯纳德·希尔|伊安·霍姆|布鲁斯·霍普金斯|伊恩·休斯|劳伦斯·马克奥雷|诺埃尔·阿普利比|布雷特·麦肯齐|Alexandra Astin|Sarah McLeod|Maisy McLeod-Riera|约翰·诺贝尔|Paul Norell|米兰达·奥图|布鲁斯·菲利普斯|沙恩·朗吉|约翰·瑞斯-戴维斯|托德·里彭|安迪·瑟金斯|Harry Sinclair|乔尔·托贝克|卡尔·厄本|史蒂芬·乌瑞|雨果·维文|大卫·文翰|阿兰·霍华德|萨拉·贝克|Robert Pollock|佩特·史密斯|杰德·布罗菲|菲利普·格里夫|布拉德·道里夫|克里斯托弗·李|布鲁斯·斯宾斯|吉诺·阿赛维多|Jarl Benzon|Jørn Benzon|Robert Catto|Michael Elsworth|彼得·杰克逊|Sandro Kopp|安德鲁·莱斯尼|约瑟夫·米卡-亨特|亨利·莫腾森|克雷格·帕克|克里斯蒂安·瑞沃斯|迈克尔·斯曼内科 |霍华德·肖|约翰·斯蒂芬森|理查德·泰勒|周志强|丹尼尔·安德鲁斯|金永钢|张磊|姜广涛,68,9.3,852959
乱世佳人,1939-12-15,美国,剧情|历史|爱情|战争,费雯·丽|克拉克·盖博|奥利维娅·德哈维兰|托马斯·米切尔|芭芭拉·欧内尔|伊夫林·凯耶斯|安·卢瑟福德|乔治·里弗斯|弗莱德·克莱恩|海蒂·麦克丹尼尔斯|奥斯卡·波尔克|巴特弗莱·麦昆|维克托·乔里|埃弗雷特·布朗|霍华德·C·希克曼|艾丽西亚·瑞特|莱斯利·霍华德|兰德·布鲁克斯|卡洛尔·奈|劳拉·霍普·克鲁斯|埃迪·安德森|哈里·达文波特|利昂娜·罗伯特|简·达威尔|欧娜·满森|保罗·赫斯特|伊莎贝尔·朱尔|卡米·金·肯伦|艾瑞克·林登|J·M·克里根|沃德·邦德|莉莲·肯布尔-库珀|李守贞|唐烨|吴文伦|彭河|查曼若,37,9.3,734753
素媛,2013-10-02,韩国,剧情,薛景求|严志媛|李来|金海淑|金相镐|罗美兰|杨真诚|权泰元|赵福来|徐现宇|宋英奎|郑敏圣|曹文义|车美京|金道烨|尹宗久,16,9.3,729569
